node,rolling_mean,rolling_std,ewma_residual,z_score,score,threshold,flagged
R03-M0-N8-I:J18-U11,37719.72215015,55473.79496663673,-4292.112891956935,87.57993690228639,0.3863883986191911,0.5580408290680082,False
R03-M0-ND-C:J15-U11,89520.8535125,174857.55431888337,-57880.60875077958,55.88615265404168,0.41120109443032876,0.5580408290680082,False
R03-M1-N5-C:J05-U11,143781.15691642856,228281.90097157046,44339.94609795269,3.816283071667031,0.4725264711356718,0.5580408290680082,False
R07-M1-N1-C:J09-U01,75219.59489405001,140660.103083735,-21361.65497143616,9.325510554227067,0.38522819664286273,0.5580408290680082,False
R17-M1-NC-C:J07-U11,83931.13207925,147614.7548118133,-34320.92593377863,24.488283813963772,0.3948775085544158,0.5580408290680082,False
R20-M0-N3-C:J02-U01,24183.68394495,69070.96369746981,3173.481493944897,19.011659332236295,0.3737832282631425,0.5580408290680082,False
R23-M0-N8,134339.969327,430226.711651947,-221112.34981922104,10.225768330838681,0.6126245755442548,0.5580408290680082,True
R27-M1-NB-C:J13-U01,26364.57343675,54570.68099239096,-23438.149103773732,29.34551650947291,0.37069889972016695,0.5580408290680082,False
R31-M0-ND-C:J05-U11,24012.795504050002,50629.695149309504,-8836.596469439519,11.611886232893033,0.3705760434596512,0.5580408290680082,False
R32-M0-N4-C:J10-U11,43194.185064200006,79892.78717657141,66505.82401950998,31.28209514271642,0.3919690688002213,0.5580408290680082,False
R32-M1-N9-C:J11-U11,33105.3589625,73393.45237914998,-7646.711086000763,14.607657054989552,0.3598025165617776,0.5580408290680082,False
R33-M1-N7-C:J02-U01,9603.79448135,32657.090829285182,39676.834331321064,31.576961184878012,0.42301148433626706,0.5580408290680082,False
R34-M0-N5-C:J10-U11,26052.72262935,71163.60451244445,50330.020704354174,34.35219608305446,0.3898357811907938,0.5580408290680082,False
R37-M0-N7-C:J15-U01,1.18369105,0.07875915567202203,18242.12671955712,19.873342875970767,0.3883034803526415,0.5580408290680082,False
R67-M0-NE-C:J06-U11,351226.54427988234,1447895.488900786,-310929.46111934184,0.8396193598186473,0.7510496055072493,0.5580408290680082,True
