node,injection_id,n_span_rows,max_abs_z_in_span,breaches_3
bn318,0,16,0.6744907594765953,False
bn504,1,55,0.6784351498828911,False
cn221,2,11,404.0199649264805,True
an173,3,22,8.152540484108412,True
bn549,4,20,0.6744907594765952,False
bn1,5,16,0.6744907594765952,False
bn848,6,56,0.6784351498828911,False
bn139,7,12,0.6744907594765952,False
dn646,8,61,0.6784351498828911,False
bn917,9,102,0.6784351498828911,False
bn250,10,12,5.425251761007397,True
bn864,11,50,0.6784351498828911,False
an218,12,27,5.89446272412155,True
bn220,13,16,3.401779482577611,True
bn417,14,40,0.6784351498828911,False
bn217,15,22,9.079986715293112,True
an139,16,26,71.80809831860527,True
an49,17,18,1.378307204147825,False
an134,18,23,316.0429093425768,True
an119,19,18,30.55736397280923,True
bn465,20,26,0.6784351498828911,False
bn1007,21,43,0.6784351498828911,False
bn874,22,38,0.6784351498828911,False
dn686,23,56,0.6784351498828911,False
an110,24,12,2.0527979636244202,False
cr32iblsw2,25,27,242076.75704842844,True
an220,26,21,73.81458249021989,True
dn882,27,24,0.6784351498828911,False
bn427,28,47,0.6784351498828911,False
dn937,29,48,0.6784351498828911,False
an480,30,18,0.6744907594765953,False
bn431,31,30,0.6784351498828911,False
dn590,32,54,0.6784351498828911,False
an190,33,26,0.6744907594765953,False
dn831,34,58,0.6784351498828911,False
bn199,35,12,12.674466922052165,True
an181,36,16,0.6744907594765953,False
bn457,37,30,0.6784351498828911,False
an442,38,27,33.20790675380513,True
bn19,39,26,0.6744907594765952,False
an47,40,18,0.6744907594765953,False
an469,41,17,16.890372768559736,True
bn966,42,34,0.6784351498828911,False
bn555,43,61,0.6784351498828911,False
dn374,44,48,0.6784351498828911,False
an507,45,11,7.711677683349072,True
bn172,46,48,0.6784351498828911,False
dn372,47,99,0.6784351498828911,False
an77,48,28,8.360548251186634,True
dn742,49,77,0.6784351498828911,False
bn379,50,46,0.6784351498828911,False
bn585,51,20,0.6784351498828911,False
bn802,52,48,0.6784351498828911,False
bn383,53,53,0.6744907594765952,False
an148,54,25,0.6744907594765952,False
bn510,55,73,0.6784351498828911,False
bn598,56,53,0.6784351498828911,False
dn400,57,42,0.6784351498828911,False
cr14iblsw1,58,11,456.7651423175503,True
en226,59,21,2308.680696074464,True
bn230,60,18,0.6744907594765953,False
dn651,61,74,0.6784351498828911,False
an155,62,22,0.6744907594765953,False
bn574,63,50,0.6784351498828911,False
dn908,64,52,0.6784351498828911,False
bn493,65,56,0.6784351498828911,False
cr8iblsw2,66,22,169441.5216511534,True
an132,67,28,0.6744907594765953,False
an474,68,27,19.56023202482126,True
an990,69,16,22.572957417150054,True
dn392,70,48,0.6784351498828911,False
an72,71,22,2.023472278429786,False
bn573,72,28,0.6784351498828911,False
an362,73,26,0.6744907594765953,False
ar28iblsw2,74,16,0.6642353444202259,False
cr23iblsw1,75,11,0.6744907594765952,False
an280,76,26,0.6744907594765953,False
bn190,77,28,52.93286177631541,True
an234,78,22,0.6744907594765953,False
dn540,79,48,0.6784351498828911,False
en360,80,11,2268.1775259678943,True
an212,81,12,2.023472278429786,False
bn795,82,84,0.6784351498828911,False
an180,83,16,0.9584868687298984,False
dn644,84,67,0.6784351498828911,False
cr10iblsw2,85,19,8949.143396735466,True
bn338,86,34,0.6784351498828911,False
an606,87,12,0.6744907594765953,False
bn335,88,80,0.6784351498828911,False
dn37,89,38,0.6784351498828911,False
bn256,90,11,0.6744907594765953,False
en359,91,21,2268.1775259678943,True
bn106,92,86,0.6784351498828911,False
bn219,93,37,0.6784351498828911,False
an201,94,16,0.6744907594765953,False
an62,95,18,486.5607716174288,True
bn269,96,21,6.090138787320836,True
an232,97,22,2.0527979636244202,False
an101,98,29,23.894193926138957,True
bn180,99,26,0.6744907594765953,False
