dataset,fault_type,scheme,scheme_kind,scheme_size,detector,recall,precision,grid_flagged_frac,lift,n_positive_windows,auc_pr,no_skill_baseline,auc_pr_ratio,auc_roc,status
bgl,stall,fixed_time_30,fixed_time,30,count_vector_pca,0.201058201058201,0.0001136502980329,0.1117989431965645,1.798390890911206,189,0.0001450886343267,6.319554809097618e-05,2.29586796395638,0.6275244369793226,complete
bgl,stall,fixed_time_30,fixed_time,30,isolation_forest_counts,0.0529100529100529,4.507387608289987e-05,0.0741822111553851,0.7132444838995876,189,0.0004457602925485,6.319554809097618e-05,7.053666057407024,0.7038625924937973,complete
bgl,stall,fixed_time_30,fixed_time,30,z_score_threshold,0.3492063492063492,4.553096346968017e-05,0.484687451203173,0.7204773887574152,189,5.796678426878435e-05,6.319554809097618e-05,0.9172605669205603,0.4571159234268893,complete
bgl,stall,fixed_time_30,fixed_time,30,log_ratio_threshold,0.0158730158730158,1.7305129817315512e-05,0.0579656985264737,0.2738346345600655,189,5.9457807704075705e-05,6.319554809097618e-05,0.940854371869366,0.4748502198631407,complete
bgl,burst,fixed_time_30,fixed_time,30,count_vector_pca,0.4903846153846153,0.0004579494639297,0.1117412270404016,4.388573746441049,312,0.0035151059919891,0.0001043504086723,33.68559871219245,0.7941362001660003,complete
bgl,burst,fixed_time_30,fixed_time,30,isolation_forest_counts,0.5032051282051282,0.000707274111515,0.0742423056624143,6.777875817774863,312,0.0072748307495112,0.0001043504086723,69.71540257552289,0.8048367840489415,complete
bgl,burst,fixed_time_30,fixed_time,30,z_score_threshold,0.3076923076923077,6.622996284913021e-05,0.4847929346746374,0.6346881022488735,312,0.0001378396239323,0.0001043504086723,1.320930369953427,0.4990376834172555,complete
bgl,burst,fixed_time_30,fixed_time,30,log_ratio_threshold,0.2916666666666667,0.000524719476895,0.0580034422256604,5.028437200881068,312,0.0008181893466406,0.0001043504086723,7.840787180910196,0.6465910446710101,complete
bgl,stall,fixed_time_60,fixed_time,60,count_vector_pca,0.2032085561497326,0.0001153514576781,0.1124654677742469,1.8068528960163588,187,0.0001982662488529,6.38410896274275e-05,3.105621317086868,0.6884126330158357,complete
bgl,stall,fixed_time_60,fixed_time,60,isolation_forest_counts,0.0962566844919786,0.000171340453481,0.0358650365225656,2.683858538145241,187,0.0006105433400853,6.38410896274275e-05,9.563485580344404,0.6736567689850823,complete
bgl,stall,fixed_time_60,fixed_time,60,z_score_threshold,0.374331550802139,4.843358855528141e-05,0.4934124189013324,0.7586585510669809,187,5.972203582521137e-05,6.38410896274275e-05,0.9354795817826002,0.4644839088027102,complete
bgl,stall,fixed_time_60,fixed_time,60,log_ratio_threshold,0.0160427807486631,1.7313219219981762e-05,0.0591564509543389,0.2711924141805943,187,6.108641744766846e-05,6.38410896274275e-05,0.9568511095936,0.4820773343277519,complete
bgl,burst,fixed_time_60,fixed_time,60,count_vector_pca,0.5,0.000379787987154,0.1123953073658947,4.448584302299085,250,0.0035743692595986,8.537277510010812e-05,41.867788125750174,0.7908330047908461,complete
bgl,burst,fixed_time_60,fixed_time,60,isolation_forest_counts,0.544,0.0012939687734888,0.0358917391253866,15.15669101738295,250,0.0089206815842811,8.537277510010812e-05,104.49094074569716,0.7961879126418505,complete
bgl,burst,fixed_time_60,fixed_time,60,z_score_threshold,0.372,6.435037603453609e-05,0.4935273776830102,0.7537575762188687,250,0.0001426434559519,8.537277510010812e-05,1.670830727766875,0.5327705653253116,complete
bgl,burst,fixed_time_60,fixed_time,60,log_ratio_threshold,0.304,0.0004384699705763,0.0591906524324069,5.135946091270986,250,0.000706200960121,8.537277510010812e-05,8.271969129420686,0.6630625699262725,complete
bgl,stall,fixed_time_120,fixed_time,120,count_vector_pca,0.2717391304347826,0.0001546551190844,0.1162437415167776,2.3376667585631865,184,0.0002549762291671,6.615789804852179e-05,3.8540557769852297,0.7335405931354169,complete
bgl,stall,fixed_time_120,fixed_time,120,isolation_forest_counts,0.2989130434782608,0.0003051029861261,0.064815683736483,4.611739416242718,184,0.0006325807580002,6.615789804852179e-05,9.561681623202436,0.7656480122324542,complete
bgl,stall,fixed_time_120,fixed_time,120,z_score_threshold,0.3858695652173913,4.92859096443501e-05,0.5179638468660392,0.74497393505765,184,6.059653081851731e-05,6.615789804852179e-05,0.9159379697050588,0.4542030568300019,complete
bgl,stall,fixed_time_120,fixed_time,120,log_ratio_threshold,0.0163043478260869,1.7318316428732242e-05,0.0622844250285395,0.2617724707038088,184,6.684939430968211e-05,6.615789804852179e-05,1.0104522102660087,0.4997227051027796,complete
bgl,burst,fixed_time_120,fixed_time,120,count_vector_pca,0.4861111111111111,0.0003250441905316,0.1161702126129262,4.184472939985148,216,0.0029233565075629,7.767864560088927e-05,37.63397887474808,0.7810398516680833,complete
