dataset,fault_type,scheme,scheme_kind,scheme_size,detector,recall,precision,grid_flagged_frac,lift,n_positive_windows,auc_pr,no_skill_baseline,auc_pr_ratio,auc_roc
thunderbird,stall,fixed_count_20,fixed_count,20,count_vector_pca,0.06832298136645963,0.00023610723561355684,0.09276427134977998,0.7365225897030849,161,0.0005209710617617631,0.0003205702566553173,1.6251384866373308,0.6561698127929237
thunderbird,stall,fixed_count_20,fixed_count,20,isolation_forest_counts,0.2919254658385093,0.002178851235455009,0.04295044103299285,6.7967978632457715,161,0.0020772754812143908,0.0003205702566553173,6.4799382914925685,0.7663435536049963
thunderbird,stall,fixed_count_20,fixed_count,20,z_score_threshold,0.4472049689440994,0.0003562698546221065,0.4023933257670788,1.1113627893593825,161,0.00067862009159809,0.0003205702566553173,2.116915332939806,0.5400189914753867
thunderbird,stall,fixed_count_20,fixed_count,20,log_ratio_threshold,0.012422360248447204,1.930483296493277e-05,0.20628198235868028,0.06022028732905705,161,0.00030717374384462163,0.0003205702566553173,0.9582103687644989,0.4311920131638138
thunderbird,burst,fixed_count_20,fixed_count,20,count_vector_pca,0.07063197026022305,0.00040782158878705275,0.09276427134977998,0.7614135187231283,269,0.0008361830195519598,0.000535611174163232,1.5611754569129397,0.644608692292472
thunderbird,burst,fixed_count_20,fixed_count,20,isolation_forest_counts,0.2788104089219331,0.0034768902693430997,0.04295044103299285,6.491444609562026,269,0.002438441185926211,0.000535611174163232,4.552633147984093,0.7674757074871313
thunderbird,burst,fixed_count_20,fixed_count,20,z_score_threshold,0.3159851301115242,0.0004206130063438338,0.4023773968102264,0.7852954281638055,269,0.0009542758621175132,0.000535611174163232,1.7816578670307757,0.4491477288527925
thunderbird,burst,fixed_count_20,fixed_count,20,log_ratio_threshold,0.01858736059479554,4.826208241233193e-05,0.20628198235868028,0.0901065637544441,269,0.0004974817541939047,0.000535611174163232,0.9288113807018765,0.4229324263102565
thunderbird,stall,fixed_count_50,fixed_count,50,count_vector_pca,0.08461538461538462,0.000578429825945207,0.09398630015123209,0.9002948778623177,130,0.0009052930702001471,0.0006424893000820409,1.409039917216595,0.6204074897744288
thunderbird,stall,fixed_count_50,fixed_count,50,isolation_forest_counts,0.33076923076923076,0.005106888361045131,0.04161353774377527,7.948596747670381,130,0.006181660827385687,0.0006424893000820409,9.621422219165886,0.7550518240167019
thunderbird,stall,fixed_count_50,fixed_count,50,z_score_threshold,0.5538461538461539,0.0007967157605869139,0.4466338502901086,1.2400451812741156,130,0.0015196889666806309,0.0006424893000820409,2.365314047232504,0.5983978036325124
thunderbird,stall,fixed_count_50,fixed_count,50,log_ratio_threshold,0.015384615384615385,4.60161516692359e-05,0.21480394191896726,0.0716216622803835,130,0.0005869327860308405,0.0006424893000820409,0.9135292773839093,0.4130065994497669
thunderbird,burst,fixed_count_50,fixed_count,50,count_vector_pca,0.07317073170731707,0.0006310143555765894,0.09398630015123209,0.7785255041381459,164,0.0012179688417411558,0.0008105249631804209,1.5026913384159877,0.6335552815288064
thunderbird,burst,fixed_count_50,fixed_count,50,isolation_forest_counts,0.3231707317073171,0.006294536817102138,0.04161353774377527,7.765999942065929,164,0.005930651009945555,0.0008105249631804209,7.317049171038803,0.7820392636914785
thunderbird,burst,fixed_count_50,fixed_count,50,z_score_threshold,0.4329268292682927,0.0007856589576186787,0.4466289080647234,0.9693211107722453,164,0.0017387216257452312,0.0008105249631804209,2.1451796116465767,0.5002737921717757
thunderbird,burst,fixed_count_50,fixed_count,50,log_ratio_threshold,0.018292682926829267,6.902422750385386e-05,0.21480394191896726,0.08515990332118768,164,0.0007138217014724881,0.0008105249631804209,0.8806905819057335,0.40915795606633937
thunderbird,stall,fixed_count_100,fixed_count,100,count_vector_pca,0.05454545454545454,0.0006079027355623101,0.09647150816147004,0.5654048079579994,110,0.001431472541557986,0.0010751637181116215,1.3313995975163415,0.573194182529799
thunderbird,stall,fixed_count_100,fixed_count,100,isolation_forest_counts,0.3090909090909091,0.007668019846639603,0.04333887205551754,7.131955550088162,110,0.015276575658351329,0.0010751637181116215,14.208604141872042,0.6839477850916207
thunderbird,stall,fixed_count_100,fixed_count,100,z_score_threshold,0.6818181818181818,0.0015354379068910453,0.47743133613527516,1.428096838672935,110,0.0027245043122743322,0.0010751637181116215,2.534036692625336,0.6532347002312755
thunderbird,stall,fixed_count_100,fixed_count,100,log_ratio_threshold,0.01818181818181818,8.907495657595867e-05,0.21946046329782035,0.08284780733896664,110,0.0009342493840617241,0.0010751637181116215,0.8689368589395909,0.39525809464508094
thunderbird,burst,fixed_count_100,fixed_count,100,count_vector_pca,0.0661764705882353,0.000911854103343465,0.09647150816147004,0.6859690684784552,136,0.002238065109948586,0.001329293324210732,1.683650304403234,0.6139249265094493
thunderbird,burst,fixed_count_100,fixed_count,100,isolation_forest_counts,0.35294117647058826,0.010825439783491205,0.04333887205551754,8.14375547241901,136,0.013989061368348026,0.001329293324210732,10.523682857321225,0.7310518590547381
thunderbird,burst,fixed_count_100,fixed_count,100,z_score_threshold,0.5441176470588235,0.0015149964172382025,0.47742156191965596,1.1397006135855918,136,0.002889533042288003,0.001329293324210732,2.1737362173270998,0.5724020097204423
thunderbird,burst,fixed_count_100,fixed_count,100,log_ratio_threshold,0.029411764705882353,0.00017814991315191734,0.21946046329782035,0.13401851187185781,136,0.0011980975954880594,0.001329293324210732,0.9013041543704658,0.4127570658012456
