node,rolling_mean_z,rolling_std_ratio,ewma_residual_z,z_score,score,threshold,flagged
R03-M0-N8-I:J18-U11,155.18425282690228,229.2205285628955,-17.735227711348966,87.57993690228639,0.33144000258509154,0.49805687645767394,False
R03-M0-ND-C:J15-U11,4417.363275247147,8635.169426146034,-2858.3772945832443,55.88615265404168,0.5497966783422503,0.49805687645767394,True
R03-M1-N5-C:J05-U11,2.479033065007169,5.006862653957706,0.9724994371059874,3.816283071667031,0.3071072445720842,0.49805687645767394,False
R07-M1-N1-C:J09-U01,10.529490145590112,20.95136690758407,-3.1818252741741997,9.325510554227067,0.30522466205917403,0.49805687645767394,False
R17-M1-NC-C:J07-U11,56.482512524857846,100.52549374046802,-23.3725146888028,24.488283813963772,0.3083025072328825,0.49805687645767394,False
R20-M0-N3-C:J02-U01,26.502043505554354,77.61889336530706,3.566218110900739,19.011659332236295,0.3069613980140363,0.49805687645767394,False
R23-M0-N8,1692825.4117631158,5421313.582790577,-2786250.488248269,10.225768330838681,0.854731388334264,0.49805687645767394,True
R27-M1-NB-C:J13-U01,251.22873715662425,521.4019673773528,-223.942542628254,29.34551650947291,0.33271441558542425,0.49805687645767394,False
R31-M0-ND-C:J05-U11,10.392197421626129,23.333538355180707,-4.07249267531356,11.611886232893033,0.30468543321807223,0.49805687645767394,False
R32-M0-N4-C:J10-U11,11.303500241314966,22.154729735825313,18.442447798875687,31.28209514271642,0.30580737210098413,0.49805687645767394,False
R32-M1-N9-C:J11-U11,17.317385846531305,39.88739982406251,-4.1557851898114535,14.607657054989552,0.3042756666901767,0.49805687645767394,False
R33-M1-N7-C:J02-U01,5.382580466163554,20.596728507364176,25.024059522811264,31.576961184878012,0.3071511234604113,0.49805687645767394,False
R34-M0-N5-C:J10-U11,11.6012121773078,33.53138647970961,23.71486643111744,34.35219608305446,0.3061420053182116,0.49805687645767394,False
R37-M0-N7-C:J15-U01,-0.6731889504385702,8.858418767541486e-05,20.517792034913775,19.873342875970767,0.3066033074791174,0.49805687645767394,False
R67-M0-NE-C:J06-U11,382.6694359535766,1580.2961891036746,-339.3619541283235,0.8396193598186473,0.3740797131603177,0.49805687645767394,False
